
> hexa-vector-postgres@1.0.0 ingest
> tsx src/ingest.ts

Checking Ollama...

Scanning sources...
Scanning hexactitude-docs...
  Found 1201 files
Scanning hexactitude-scripts...
  Found 91 files
Scanning hexactitude-plugins...
  Found 65 files
Scanning ahs-documentation...
  Found 42 files
Scanning front...
  Found 530 files
Scanning bff...
  Found 282 files
Scanning contracts...
  Found 86 files
Found 2297 files to process
[1/2297] 0.0% | 0s elapsed | 0 chunks | ETA: 0s | hexactitude-docs
[21/2297] 0.9% | 4s elapsed | 74 chunks | ETA: 399s | hexactitude-docs
[41/2297] 1.7% | 6s elapsed | 145 chunks | ETA: 357s | hexactitude-docs
[61/2297] 2.6% | 9s elapsed | 221 chunks | ETA: 336s | hexactitude-docs
[81/2297] 3.5% | 12s elapsed | 315 chunks | ETA: 369s | hexactitude-docs
[101/2297] 4.4% | 18s elapsed | 449 chunks | ETA: 409s | hexactitude-docs
[121/2297] 5.2% | 21s elapsed | 524 chunks | ETA: 389s | hexactitude-docs
[141/2297] 6.1% | 24s elapsed | 603 chunks | ETA: 387s | hexactitude-docs
[161/2297] 7.0% | 27s elapsed | 678 chunks | ETA: 380s | hexactitude-docs
[181/2297] 7.8% | 29s elapsed | 749 chunks | ETA: 370s | hexactitude-docs
[201/2297] 8.7% | 34s elapsed | 864 chunks | ETA: 381s | hexactitude-docs
[221/2297] 9.6% | 38s elapsed | 975 chunks | ETA: 386s | hexactitude-docs
[241/2297] 10.4% | 42s elapsed | 1061 chunks | ETA: 382s | hexactitude-docs
[261/2297] 11.3% | 45s elapsed | 1136 chunks | ETA: 376s | hexactitude-docs
[281/2297] 12.2% | 51s elapsed | 1248 chunks | ETA: 384s | hexactitude-docs
[301/2297] 13.1% | 54s elapsed | 1318 chunks | ETA: 375s | hexactitude-docs
[321/2297] 13.9% | 57s elapsed | 1399 chunks | ETA: 371s | hexactitude-docs
[341/2297] 14.8% | 60s elapsed | 1476 chunks | ETA: 367s | hexactitude-docs
[361/2297] 15.7% | 63s elapsed | 1534 chunks | ETA: 355s | hexactitude-docs
[381/2297] 16.5% | 64s elapsed | 1562 chunks | ETA: 345s | hexactitude-docs
[401/2297] 17.4% | 66s elapsed | 1622 chunks | ETA: 339s | hexactitude-docs
[421/2297] 18.3% | 68s elapsed | 1682 chunks | ETA: 328s | hexactitude-docs
[441/2297] 19.2% | 69s elapsed | 1716 chunks | ETA: 321s | hexactitude-docs
[461/2297] 20.0% | 72s elapsed | 1794 chunks | ETA: 316s | hexactitude-docs
[481/2297] 20.9% | 74s elapsed | 1849 chunks | ETA: 310s | hexactitude-docs
[501/2297] 21.8% | 79s elapsed | 1945 chunks | ETA: 309s | hexactitude-docs
[521/2297] 22.6% | 81s elapsed | 2018 chunks | ETA: 303s | hexactitude-docs
[541/2297] 23.5% | 83s elapsed | 2066 chunks | ETA: 296s | hexactitude-docs
[561/2297] 24.4% | 86s elapsed | 2136 chunks | ETA: 291s | hexactitude-docs
[581/2297] 25.3% | 90s elapsed | 2230 chunks | ETA: 291s | hexactitude-docs
[601/2297] 26.1% | 94s elapsed | 2307 chunks | ETA: 287s | hexactitude-docs
[621/2297] 27.0% | 99s elapsed | 2432 chunks | ETA: 289s | hexactitude-docs
[641/2297] 27.9% | 103s elapsed | 2536 chunks | ETA: 289s | hexactitude-docs
[661/2297] 28.7% | 107s elapsed | 2606 chunks | ETA: 288s | hexactitude-docs
[681/2297] 29.6% | 110s elapsed | 2683 chunks | ETA: 283s | hexactitude-docs
[701/2297] 30.5% | 111s elapsed | 2721 chunks | ETA: 276s | hexactitude-docs
[721/2297] 31.3% | 114s elapsed | 2781 chunks | ETA: 273s | hexactitude-docs
[741/2297] 32.2% | 116s elapsed | 2850 chunks | ETA: 267s | hexactitude-docs
[761/2297] 33.1% | 120s elapsed | 2933 chunks | ETA: 264s | hexactitude-docs
[781/2297] 34.0% | 123s elapsed | 3015 chunks | ETA: 261s | hexactitude-docs
[801/2297] 34.8% | 125s elapsed | 3070 chunks | ETA: 255s | hexactitude-docs
[821/2297] 35.7% | 127s elapsed | 3136 chunks | ETA: 252s | hexactitude-docs
[841/2297] 36.6% | 130s elapsed | 3220 chunks | ETA: 248s | hexactitude-docs
[861/2297] 37.4% | 133s elapsed | 3291 chunks | ETA: 244s | hexactitude-docs
[881/2297] 38.3% | 135s elapsed | 3336 chunks | ETA: 238s | hexactitude-docs
[901/2297] 39.2% | 139s elapsed | 3417 chunks | ETA: 235s | hexactitude-docs
[921/2297] 40.1% | 142s elapsed | 3503 chunks | ETA: 232s | hexactitude-docs
[941/2297] 40.9% | 146s elapsed | 3586 chunks | ETA: 229s | hexactitude-docs
[961/2297] 41.8% | 149s elapsed | 3681 chunks | ETA: 226s | hexactitude-docs
[981/2297] 42.7% | 153s elapsed | 3784 chunks | ETA: 224s | hexactitude-docs
